Object_ID,Object_Name,Alternative_Name,Category,Object_Type,Subcategory,RA,Dec,Distance_AU,Distance_km,Distance_ly,Apparent_Magnitude,Angular_Size,Radius_km,Diameter_km,Mass_kg,Gravity_m_s2,Escape_Velocity_km_s,Rotation_Period_hours,Orbital_Period_days,Temperature_C,Number_of_Moons,Spectral_Type,Visibility,Equipment,Observation_Difficulty,Best_Observation_Month,Student_Description,Fun_Fact,Teacher_Notes,Sanskrit_Name,IKS_Reference,Related_Nakshatra,Ancient_Text,Image_URL,Thumbnail_URL,Reference_Link,Source
SS11,Pluto,Hades,Solar System,Dwarf Planet,Kuiper Belt Object,Calculated at runtime,Calculated at runtime,39.48,5900000000.0,0.00062,13.65 to 16.3,"0.06""-0.11""",1188.3,2376.6,1.3e+22,0.62,1.21,153.3,90560.0,-229,5,,Large Telescope,Large Telescope,Very Hard,Annual Opposition,"Once considered the ninth planet, it is now classified as a dwarf planet located in the Kuiper Belt.",Pluto is smaller than Earth's Moon and has a heart-shaped glacier on its surface.,Excellent pivot for teaching how scientific classification evolves with new discoveries.,Yama,Deity of the underworld; not in Navagraha.,,,,,https://solarsystem.nasa.gov/planets/dwarf-planets/pluto/in-depth/,IAU / NASA
SS12,Ceres,Demeter,Solar System,Dwarf Planet,Main Belt Asteroid,Calculated at runtime,Calculated at runtime,2.77,413000000.0,4.3e-05,6.7 to 9.3,"0.3""-0.8""",473.0,946.0,9.38e+20,0.28,0.51,9.0,1680.0,-105,0,,Binoculars,Telescope,Moderate,Annual Opposition,"The largest object in the asteroid belt between Mars and Jupiter, and the only dwarf planet in the inner Solar System.",Ceres makes up almost a third of the total mass of the asteroid belt.,Great example to bridge the gap between rocky planets and the outer Solar System bodies.,,,,,,,https://solarsystem.nasa.gov/planets/dwarf-planets/ceres/in-depth/,NASA / JPL
BS01,Sirius,Alpha Canis Majoris,Star,Main Sequence Star,A-Type Main Sequence,101.28715533333335,-16.71611586111111,543933.44,,8.6,-1.46,Point Source,,,,,,,,,0,A0mA1Va,Naked Eye,,Easy,February,The brightest star in the night sky. It glows with a brilliant blue-white color.,"Sirius is actually a binary star system; it has a tiny, dense white dwarf companion.",Use this to explain apparent vs. absolute magnitude and binary systems.,Vyadha,The Hunter; prominent in early astronomical tracking.,Ardra (Associated),Surya Siddhanta,,,https://science.nasa.gov/universe/stars/sirius/,SIMBAD + Curated
BS02,Canopus,Alpha Carinae,Star,Bright Giant,F-Type Bright Giant,95.98795782918306,-52.69566138386201,19551184.83,,309.19,-0.74,Point Source,,,,,,,,,0,A9II,Naked Eye,,Easy,February,"The second-brightest star in the sky, shining brightly in the southern hemisphere.",Spacecraft use Canopus as a navigational reference point to orient themselves in space.,Excellent for discussing spacecraft navigation and southern sky observation.,Agastya,Sage Agastya; represents the southern direction.,,Surya Siddhanta,,,https://starchild.gsfc.nasa.gov/,SIMBAD + Curated
BS03,Rigil Kentaurus,Alpha Centauri A,Star,Main Sequence Star,G-Type Main Sequence,219.90205833170774,-60.83399268831004,277940.23,,4.4,0.01,Point Source,,,,,,,,,0,G2V,Naked Eye,,Easy,May,"Part of the closest star system to our Solar System, appearing as a single bright star to the naked eye.",It takes light over 4 years to travel from Alpha Centauri to Earth.,Introduce the concept of light-years and the vast distances between stars.,Mitra,Deity of friendship and daylight.,Anuradha (Contextual),Rig Veda,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS04,Arcturus,Alpha Bootis,Star,Red Giant,K-Type Red Giant,213.915300294925,19.1824091615312,2322019.59,,36.72,-0.05,Point Source,,,,,,,,,0,K1.5IIIFe-0.5,Naked Eye,,Easy,June,A distinct orange-red giant star and the brightest in the northern celestial hemisphere.,Arcturus is moving much faster than the general flow of stars in our galactic neighborhood.,"Teach ""star-hopping"" by following the arc of the Big Dipper's handle to Arcturus.",Swati,Associated with the wind deity Vayu.,Swati,Brihat Samhita,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS05,Vega,Alpha Lyrae,Star,Main Sequence Star,A-Type Main Sequence,279.234734787025,38.783688956244,1583851.65,,25.05,0.03,Point Source,,,,,,,,,0,A0V,Naked Eye,,Easy,August,A bright blue-white star that was the first star ever to be photographed.,Around 12000 BCE Vega was the North Star instead of Polaris.,Great pivot to discuss precession (the wobble of Earth's axis).,Abhijit,The victorious one; considered an auspicious intercalary Nakshatra.,Abhijit,Mahabharata / Vedanga Jyotisha,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS06,Capella,Alpha Aurigae,Star,Giant System,G-Type Giants,79.17232794433404,45.99799146983673,2706889.76,,42.81,0.08,Point Source,,,,,,,,,0,G3III:,Naked Eye,,Easy,January,A bright yellowish star that is actually a complex system of four stars.,"Though it looks like one star, it consists of two giant stars and two red dwarfs.",Discuss how common multiple-star systems are in the universe.,Brahmahridaya,The heart of Brahma.,Rohini (Nearby),Surya Siddhanta,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS07,Rigel,Beta Orionis,Star,Blue Supergiant,B-Type Supergiant,78.63446706693006,-8.201638364722209,54567460.32,,862.96,0.13,Point Source,,,,,,,,,0,B8Ia,Naked Eye,,Easy,January,A massive luminous blue supergiant forming the left foot of Orion.,Rigel is roughly 120000 times more luminous than our Sun.,Compare Rigel's blue color (hot) with Betelgeuse's red color (cool).,,,Mrigashira (Contextual),,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS08,Procyon,Alpha Canis Minoris,Star,Main Sequence Star,F-Type Main Sequence,114.82549790798149,5.224987557059477,724855.92,,11.46,0.37,Point Source,,,,,,,,,0,F5IV-V+DQZ,Naked Eye,,Easy,March,"The eighth-brightest star, forming the ""Little Dog"" constellation.",Like Sirius Procyon also has a white dwarf companion.,Part of the Winter Triangle asterism; good for teaching constellation patterns.,Sarameya,The hound of the gods.,Punarvasu (Contextual),Rig Veda (Contextual),,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS09,Achernar,Alpha Eridani,Star,Main Sequence Star,B-Type Main Sequence,24.428522833333336,-57.236752805555554,8818512.18,,139.46,0.46,Point Source,,,,,,,,,0,B6Vpe,Naked Eye,,Easy,November,A bright blue star located at the southern tip of the constellation Eridanus.,Achernar spins so fast that its shape is flattened into an oblate spheroid.,Discuss how rapid rotation affects the shape and temperature of stars.,,,,,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS10,Betelgeuse,Alpha Orionis,Star,Red Supergiant,M-Type Supergiant,88.79293899077537,7.407063995272694,31490839.69,,498.02,0.42,Point Source,,,,,,,,,0,M1-M2Ia-Iab,Naked Eye,,Easy,January,A massive red supergiant forming the right shoulder of Orion.,"If placed in our Solar System, Betelgeuse would swallow up the orbits of Mercury, Venus, Earth, and Mars.",A prime candidate for a future supernova. Discuss stellar life cycles.,Ardra,Associated with Rudra the storm god.,Ardra,Brihat Samhita,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS11,Hadar,Beta Centauri,Star,Giant System,B-Type Giant,210.95585562281522,-60.373035161541594,24791466.35,,392.07,0.58,Point Source,,,,,,,,,0,B1III,Naked Eye,,Easy,May,A bright blue giant star in the southern sky often used to find the Southern Cross.,Hadar is actually a triple star system located nearly 400 light-years away.,Used alongside Alpha Centauri to point toward the Crux constellation.,,,,,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS12,Altair,Alpha Aquilae,Star,Main Sequence Star,A-Type Main Sequence,297.69582729638694,8.868321196436963,1058040.52,,16.73,0.76,Point Source,,,,,,,,,0,A7Vn,Naked Eye,,Easy,September,A bright white star forming the head of the Eagle (Aquila).,Altair rotates so rapidly (once every 9 hours) that it bulges at the equator.,One of the three stars in the Summer Triangle asterism.,Shravana,Associated with listening and wisdom.,Shravana,Surya Siddhanta,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS13,Acrux,Alpha Crucis,Star,Multiple Star,B-Type Main Sequence,186.64956340120452,-63.099092857925115,20361796.64,,322.01,,Point Source,,,,,,,,,0,B0.5IV+B1V,Naked Eye,,Easy,May,The brightest star in the Southern Cross and the southernmost first-magnitude star.,Acrux appears on the flags of five different countries including Australia and Brazil.,Great for discussing cultural significance and navigation in the southern hemisphere.,Trishanku,Associated with the mythological king suspended in the southern sky.,,Ramayana (Contextual),,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS14,Aldebaran,Alpha Tauri,Star,Red Giant,K-Type Red Giant,68.9801627900154,16.5093023507718,4214650.59,,66.65,0.86,Point Source,,,,,,,,,0,K5+III,Naked Eye,,Easy,January,A bright orange-red star forming the fiery eye of Taurus the Bull.,"Pioneer 10, a spacecraft launched in 1972, is heading toward Aldebaran.",Point out its visual alignment with the Hyades cluster though it isn't part of it.,Rohini,Associated with the creator god Brahma; a prominent red star.,Rohini,Surya Siddhanta / Brihat Samhita,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS15,Antares,Alpha Scorpii,Star,Red Supergiant,M-Type Supergiant,247.3519154198264,-26.432002611950832,35019524.62,,553.82,0.91,Point Source,,,,,,,,,0,M1.5Iab+B2Vn,Naked Eye,,Easy,July,A massive red supergiant that marks the heart of the Scorpion.,Its name means Rival of Mars because of its reddish appearance.,Compare its size and fate to Betelgeuse. Another excellent supernova candidate.,Jyeshtha,The eldest or most excellent; associated with Indra.,Jyeshtha,Surya Siddhanta,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS16,Spica,Alpha Virginis,Star,Blue Giant,B-Type Main Sequence,201.2982473615632,-11.161319485111932,15793644.72,,249.77,0.97,Point Source,,,,,,,,,0,B1V,Naked Eye,,Easy,May,The brightest star in Virgo appearing as a single blue-white point of light.,"Spica is a close binary system; the two stars are so close, their gravity pulls them into egg shapes.","Used to teach star-hopping: ""Arc to Arcturus, then spike to Spica.""",Chitra,The bright or solitary one; associated with celestial architect Tvashtar.,Chitra,Brihat Samhita,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS17,Pollux,Beta Geminorum,Star,Red Giant,K-Type Red Giant,116.32895777437875,28.02619889009357,2136575.51,,33.79,1.14,Point Source,,,,,,,,,0,K0IIIb,Naked Eye,,Easy,March,An orange giant star and the brightest in the constellation Gemini.,Pollux is known to host at least one exoplanet roughly three times the mass of Jupiter.,Compare with its twin star Castor which is visually close but physically very different.,Punarvasu,Associated with the mother of the gods Aditi; represents renewal.,Punarvasu,Surya Siddhanta,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS18,Fomalhaut,Alpha Piscis Austrini,Star,Main Sequence Star,A-Type Main Sequence,344.4126927211701,-29.622237033389442,1588976.2,,25.13,1.16,Point Source,,,,,,,,,0,A4V,Naked Eye,,Easy,October,"One of the brightest stars in the autumn sky, sometimes called the ""Lonely Star.""",It is surrounded by a massive disk of dust and debris where planets are forming.,Discuss planet formation and circumstellar disks.,,,,,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS19,Deneb,Alpha Cygni,Star,Blue Supergiant,A-Type Supergiant,310.35797975307673,45.280338806527574,89292207.79,,1412.12,1.25,Point Source,,,,,,,,,0,A2Ia,Naked Eye,,Easy,September,A massive luminous blue-white star marking the tail of the Swan.,Despite being extremely far away (over 2600 light-years) it is one of the brightest stars we see.,The third member of the Summer Triangle. Discuss absolute magnitude.,,,,,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS20,Regulus,Alpha Leonis,Star,Multiple Star,B-Type Main Sequence,152.09296243828146,11.967208776100023,5014952.59,,79.31,1.4,Point Source,,,,,,,,,0,B8IVn,Naked Eye,,Easy,April,A bright blue-white star marking the heart of Leo the Lion.,Regulus spins extremely fast; if it spun just 10% faster it would tear itself apart.,Located very close to the ecliptic it is frequently occulted (covered) by the Moon.,Magha,The mighty one; associated with the Pitris (ancestors).,Magha,Brihat Samhita,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS21,Adhara,Epsilon Canis Majoris,Star,Bright Giant,B-Type Bright Giant,104.65645315148348,-28.972086157360806,25622981.37,,405.22,1.5,Point Source,,,,,,,,,0,B1.5II,Naked Eye,,Easy,February,The second brightest star in the constellation Canis Major.,About 4.7 million years ago Adhara was the brightest star in the sky.,Use to discuss how stellar proper motion changes the night sky over millions of years.,,,,,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS22,Castor,Alpha Geminorum,Star,Multiple Star,A-Type Main Sequence,113.64947163976585,31.88828221646326,3216859.01,,50.87,1.58,Point Source,,,,,,,,,0,A1V+A2Vm,Naked Eye,,Easy,March,The famous twin to Pollux in the constellation Gemini.,Castor is actually a complex system of six individual stars.,Excellent for discussing multiple star systems and spectroscopy.,,Often paired with Pollux.,Punarvasu (Contextual),,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS23,Shaula,Lambda Scorpii,Star,Multiple Star,B-Type Subgiant,263.40216718438023,-37.10382355111976,36123467.6,,571.28,1.63,Point Source,,,,,,,,,0,B2IV+DA7.9,Naked Eye,,Easy,July,A bright star system marking the stinger of the Scorpion.,Its name comes from the Arabic word for the raised tail of a scorpion.,Point out its position at the end of Scorpius curving into the Milky Way.,Mula,Associated with the root or center.,Mula (Contextual),Surya Siddhanta,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS24,Bellatrix,Gamma Orionis,Star,Main Sequence Star,B-Type Main Sequence,81.28276355652378,6.3497032644440665,15964783.28,,252.48,1.64,Point Source,,,,,,,,,0,B2III,Naked Eye,,Easy,January,The third brightest star in Orion marking his left shoulder.,"Bellatrix translates to ""Female Warrior"" in Latin.",Compare its blue color to the red of Betelgeuse on the opposite shoulder.,,,Mrigashira (Contextual),,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
BS25,Elnath,Beta Tauri,Star,Giant System,B-Type Giant,81.57297133176498,28.607451724998228,8467364.53,,133.91,1.65,Point Source,,,,,,,,,0,B7III,Naked Eye,,Easy,January,The second brightest star in Taurus marking the tip of the Bull's northern horn.,Elnath is located very close to the galactic anticenter (the exact opposite direction of the galactic center).,Technically it borders both Taurus and Auriga.,,,,,,,https://science.nasa.gov/universe/stars/,SIMBAD + Curated
DSO01,Messier 31,Andromeda Galaxy,Deep Sky,Galaxy,Spiral Galaxy,10.684708333333333,41.268750000000004,,,,3.44,Extended Source,,,,,,,,,0,,Telescope / Dark Sky,Telescope,Moderate,November,The closest major galaxy to our Milky Way. Under dark skies it looks like a faint smudge of light.,Andromeda and the Milky Way are on a collision course and will merge in about 4.5 billion years.,Excellent for introducing galactic scales and the Local Group.,,Located in the region associated with Devayani.,Uttara Bhadrapada,,,,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-31/,SIMBAD + Curated
DSO02,Messier 42,Orion Nebula,Deep Sky,Nebula,Emission Nebula,83.8201,-5.3876,,,,,Extended Source,,,,,,,,,0,,Telescope / Dark Sky,Telescope,Moderate,January,A massive cloud of gas and dust in space where new stars are actively being born.,It is visible to the naked eye as the blurry middle star in Orion's sword.,Perfect object to explain stellar nurseries and star formation. Point out the Trapezium cluster inside it.,,Located in the vicinity of the cosmic hunter.,Mrigashira,,,,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-42/,SIMBAD + Curated
DSO03,Messier 45,Pleiades,Deep Sky,Star Cluster,Open Cluster,56.600833333333334,24.11388888888889,28009913.09,,442.97,,Extended Source,,,,,,,,,0,,Telescope / Dark Sky,Telescope,Moderate,January,A beautiful cluster of young hot blue stars. Most people can count about six or seven stars naked-eye.,Automaker Subaru uses the Pleiades (its Japanese name) for its logo.,Discuss open clusters vs. globular clusters. Good test for visual acuity.,Krittika,Represent the six nursing mothers of the war god Kartikeya.,Krittika,Surya Siddhanta,,,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-45/,SIMBAD + Curated
DSO04,Messier 1,Crab Nebula,Deep Sky,Nebula,Supernova Remnant,83.6324,22.0174,,,,,Extended Source,,,,,,,,,0,,Telescope / Dark Sky,Telescope,Moderate,January,The glowing remains of a massive star that exploded in a supernova.,Chinese astronomers recorded the explosion that created this nebula in the year 1054 AD.,Use to teach the life cycle of massive stars and the creation of pulsars.,,Located near the horns of the bull.,Mrigashira,Recorded globally 1054 AD,,,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-1/,SIMBAD + Curated
DSO05,Messier 13,Hercules Cluster,Deep Sky,Star Cluster,Globular Cluster,250.42347499999994,36.46131944444445,1624133858.27,,25685.04,5.8,Extended Source,,,,,,,,,0,,Telescope / Dark Sky,Telescope,Moderate,July,A massive spherical collection of hundreds of thousands of very old stars.,In 1974 scientists beamed a radio message toward this cluster to say hello to potential aliens.,Highlight the difference between young open clusters (Pleiades) and ancient globular clusters.,,,,,,,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-13/,SIMBAD + Curated
DSO06,Messier 7,Ptolemy Cluster,Deep Sky,Star Cluster,Open Cluster,268.44708333333335,-34.84111111111112,57770838.0,,913.62,,Extended Source,,,,,,,,,0,,Telescope / Dark Sky,Telescope,Moderate,July,A large and prominent open cluster easily visible to the naked eye under dark skies.,Greek astronomer Ptolemy recorded it as a nebula way back in 130 AD.,One of the oldest and closest open clusters known to astronomy.,,Located near the tail of Scorpius.,Mula / Jyeshtha (Contextual),Recorded 130 AD,,,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-7/,SIMBAD + Curated
DSO07,Messier 35,M35,Deep Sky,Star Cluster,Open Cluster,92.27208333333334,24.336111111111105,182519246.08,,2886.47,,Extended Source,,,,,,,,,0,,Telescope / Dark Sky,Telescope,Moderate,February,A large rich open cluster in the constellation Gemini containing over 200 stars.,Appears about as large as the full Moon in the sky despite being nearly 2800 light-years away.,Can be easily viewed alongside a much more distant smaller cluster NGC 2158 in the same telescope field.,,Located near the feet of the Gemini twins.,Punarvasu (Contextual),,,,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-35/,SIMBAD + Curated
DSO08,Messier 50,Heart-Shaped Cluster,Deep Sky,Star Cluster,Open Cluster,105.68416666666667,-8.365,206017778.67,,3258.09,,Extended Source,,,,,,,,,0,,Telescope / Dark Sky,Telescope,Moderate,February,An irregular open cluster located in the constellation Monoceros containing several red giant stars.,Discovered independently by Charles Messier in 1772 while hunting for comets.,Good object to discuss stellar populations within open clusters.,,,,,,,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-50/,SIMBAD + Curated
DSO09,Messier 67,King Cobra Cluster,Deep Sky,Star Cluster,Open Cluster,132.84583333333333,11.81388888888889,182132450.33,,2880.35,,Extended Source,,,,,,,,,0,,Telescope / Dark Sky,Telescope,Moderate,February,An extremely old open cluster in the constellation Cancer containing over 500 stars.,At over 4 billion years old it is one of the oldest open clusters known with stars roughly the same age as our Sun.,Great for discussing stellar evolution and how open clusters eventually dissipate over time.,,Located in Cancer.,Pushya (Contextual),,,,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-67/,SIMBAD + Curated
DSO10,Messier 64,Black Eye Galaxy,Deep Sky,Galaxy,Spiral Galaxy,194.18206666666663,21.682658333333332,,,,8.52,Extended Source,,,,,,,,,0,,Telescope / Dark Sky,Telescope,Moderate,May,A spectacular spiral galaxy famous for a spectacular dark band of absorbing dust in front of its bright nucleus.,Also known as the Evil Eye Galaxy due to its eerie brooding appearance in photographs.,Excellent example of a galaxy that experienced a past merger with a smaller satellite galaxy creating counter-rotating gas disks.,,,Chitra (Contextual),,,,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-64/,SIMBAD + Curated
DSO11,Messier 65,M65,Deep Sky,Galaxy,Spiral Galaxy,169.73295193949,13.092305751019998,,,,,Extended Source,,,,,,,,,0,,Telescope / Dark Sky,Telescope,Moderate,April,A bright spiral galaxy that forms part of the famous Leo Triplet trio of galaxies.,It interacts gravitationally with its neighboring galaxies M66 and NGC 3628.,Perfect for introducing galaxy groups and gravitational tidal interactions.,,Located within the bounds of Leo.,Magha / Purva Phalguni (Contextual),,,,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-65/,SIMBAD + Curated
